ISIN,Name,Category,Symbol,Exchange,Currency,Tradable
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),Aandelen,SXR8,IBIS2,EUR,Yes
IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),Aandelen,IWDA,AEB,EUR,Yes
IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,Aandelen,VUSA,AEB,EUR,Yes
IE00B3YCGJ38,Invesco S&P 500 UCITS ETF,Aandelen,SPXS,BVME.ETF,EUR,Yes
IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),Aandelen,EMIM,AEB,EUR,Yes
IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,Aandelen,VUAA,BVME.ETF,EUR,Yes
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,Aandelen,VWCE,IBIS2,EUR,Yes
IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),Aandelen,IUSQ,IBIS2,EUR,Yes
IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing,Aandelen,VWRL,AEB,EUR,Yes
IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc),Aandelen,SXRV,IBIS2,EUR,Yes
IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),Aandelen,IUSA,AEB,EUR,Yes
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,Aandelen,XDWD,IBIS2,EUR,Yes
IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),Aandelen,ISFA,AEB,EUR,Yes
IE00B6YX5C33,SPDR S&P 500 UCITS ETF (Dist),Aandelen,SPY5,IBIS2,EUR,Yes
LU0908500753,Amundi Stoxx Europe 600 UCITS ETF Acc,Aandelen,MEUD,SBF,EUR,Yes
IE00BFY0GT14,SPDR MSCI World UCITS ETF,Aandelen,SPPW,IBIS2,EUR,Yes
IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),Aandelen,IMAE,AEB,EUR,Yes
IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),Aandelen,QDVE,IBIS2,EUR,Yes
LU1135865084,Amundi S&P 500 II UCITS ETF Acc,Aandelen,SP5C,SBF,EUR,Yes
IE00B4X9L533,HSBC MSCI World UCITS ETF USD,Aandelen,WRD,SBF,EUR,Yes
IE00BFNM3G45,iShares MSCI USA Screened UCITS ETF USD (Acc),Aandelen,SGAS,IBIS2,EUR,Yes
IE00BHZPJ890,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),Aandelen,OM3L,IBIS2,EUR,Yes
IE000XZSV718,SPDR S&P 500 UCITS ETF (Acc),Aandelen,SPYL,IBIS2,EUR,Yes
IE00BF4G7076,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),Aandelen,JREU,BVME.ETF,EUR,Yes
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,Aandelen,XD9U,IBIS2,EUR,Yes
IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),Aandelen,IMEU,AEB,EUR,Yes
IE0032077012,Invesco EQQQ Nasdaq-100 UCITS ETF,Aandelen,EQQQ,BVME.ETF,EUR,Yes
IE00BMTX1Y45,iShares S&P 500 Swap UCITS ETF USD (Acc),Aandelen,I500,IBIS2,EUR,Yes
IE000BI8OT95,Amundi MSCI World UCITS ETF Acc,Aandelen,MWRD,SBF,EUR,Yes
DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),Aandelen,EXS1,IBIS,EUR,Yes
DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),Aandelen,EXSA,IBIS,EUR,Yes
DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),Aandelen,EXW1,IBIS,EUR,Yes
IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,Aandelen,XDEW,IBIS2,EUR,Yes
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,Aandelen,XZMU,IBIS2,EUR,Yes
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),Aandelen,IUSE,LSEETF,EUR,Yes
FR0010315770,Amundi MSCI World II UCITS ETF Dist,Aandelen,WLD,SBF,EUR,Yes
IE00B0M62Q58,iShares MSCI World UCITS ETF (Dist),Aandelen,IWRD,AEB,EUR,Yes
IE00BHZPJ908,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Acc),Aandelen,EDMU,IBIS2,EUR,Yes
IE00B5KQNG97,HSBC S&P 500 UCITS ETF USD,Aandelen,HHH,SBF,EUR,Yes
IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,Aandelen,XMME,IBIS2,EUR,Yes
IE00BYX2JD69,iShares MSCI World SRI UCITS ETF EUR (Acc),Aandelen,SUSW,LSEETF,EUR,Yes
IE00BYML9W36,Invesco S&P 500 UCITS ETF Dist,Aandelen,SPXD,BVME.ETF,EUR,Yes
LU0274211480,Xtrackers DAX UCITS ETF 1C,Aandelen,DBXD,IBIS2,EUR,Yes
IE00B60SX394,Invesco MSCI World UCITS ETF Acc,Aandelen,SC0J,IBIS2,EUR,Yes
IE00BZ02LR44,Xtrackers MSCI World ESG UCITS ETF 1C,Aandelen,XZW0,IBIS2,EUR,Yes
IE00BF4G6Y48,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),Aandelen,JREG,BVME.ETF,EUR,Yes
IE00B60SX170,Invesco MSCI USA UCITS ETF,Aandelen,SC0H,IBIS2,EUR,Yes
IE000YYE6WK5,VanEck Defense UCITS ETF A,Aandelen,DFEN,IBIS2,EUR,Yes
LU0274209237,Xtrackers MSCI Europe UCITS ETF 1C,Aandelen,XMEU,IBIS2,EUR,Yes
IE00B8GKDB10,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,Aandelen,VHYL,AEB,EUR,Yes
IE00B4L5YX21,iShares Core MSCI Japan IMI UCITS ETF,Aandelen,IJPA,AEB,EUR,Yes
IE00B53L3W79,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),Aandelen,CSSX5E,EBS,EUR,Yes
IE00BF4RFH31,iShares MSCI World Small Cap UCITS ETF,Aandelen,IUSN,IBIS2,EUR,Yes
LU2009147757,Xtrackers S&P 500 Swap UCITS ETF 1D,Aandelen,XSXD,IBIS2,EUR,Yes
IE00BHZPJ239,iShares MSCI EM ESG Enhanced CTB UCITS ETF USD (Acc),Aandelen,EDM2,IBIS2,EUR,Yes
IE00BGV5VN51,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C 1C,Aandelen,XAIX,IBIS2,EUR,Yes
LU2572257124,Amundi MSCI World III UCITS ETF Dist,Aandelen,AHYQ,IBIS,EUR,Yes
LU0380865021,Xtrackers EURO STOXX 50 UCITS ETF 1C,Aandelen,XESC,IBIS2,EUR,Yes
IE00B53QG562,iShares Core MSCI EMU UCITS ETF EUR (Acc),Aandelen,CSEMU,EBS,EUR,Yes
LU1681043599,Amundi MSCI World UCITS ETF EUR (C),Aandelen,CW8,SBF,EUR,Yes
LU0274211217,Xtrackers EURO STOXX 50 UCITS ETF 1D,Aandelen,XESX,IBIS2,EUR,Yes
IE00B0M63177,iShares MSCI EM UCITS ETF (Dist),Aandelen,IEMM,AEB,EUR,Yes
LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C,Aandelen,DBXW,IBIS2,EUR,Yes
IE00BM67HT60,Xtrackers MSCI World Information Technology UCITS ETF 1C,Aandelen,XDWT,IBIS2,EUR,Yes
IE00BZCQB185,iShares MSCI India UCITS ETF USD (Acc),Aandelen,QDV5,IBIS2,EUR,Yes
IE00B441G979,iShares MSCI World EUR Hedged UCITS ETF (Acc),Aandelen,IWDE,LSEETF,EUR,Yes
IE0008471009,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),Aandelen,EUN2,IBIS2,EUR,Yes
DE000A0F5UF5,iShares Nasdaq 100 UCITS ETF (DE),Aandelen,EXXT,IBIS,EUR,Yes
IE00B4L5YC18,iShares MSCI EM UCITS ETF (Acc),Aandelen,IEMA,AEB,EUR,Yes
IE00B810Q511,Vanguard FTSE 100 UCITS ETF (GBP) Distributing,Aandelen,VUKE,FWB2,EUR,Yes
LU1829221024,Amundi Nasdaq-100 II UCITS ETF Acc,Aandelen,UST,SBF,EUR,Yes
IE00BH4GPZ28,SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),Aandelen,SPPY,AEB,EUR,Yes
IE00BFNM3P36,iShares MSCI EM IMI Screened UCITS ETF USD (Acc),Aandelen,AYEM,IBIS2,EUR,Yes
IE00BGHQ0G80,Xtrackers MSCI AC World Screened UCITS ETF 1C,Aandelen,XMAW,IBIS2,EUR,Yes
IE00BK5BQV03,Vanguard FTSE Developed World UCITS ETF Acc,Aandelen,VHVE,BVME.ETF,EUR,Yes
IE00BK1PV551,Xtrackers MSCI World UCITS ETF 1D,Aandelen,XDWL,IBIS2,EUR,Yes
IE00BHZPJ569,iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Acc),Aandelen,EDMW,IBIS2,EUR,Yes
LU1781541252,Amundi MSCI Japan UCITS ETF Acc,Aandelen,LCUJ,IBIS,EUR,Yes
LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,Aandelen,XMUS,IBIS2,EUR,Yes
IE00B44Z5B48,SPDR MSCI All Country World UCITS ETF (Acc),Aandelen,SPYY,IBIS2,EUR,Yes
IE00BFNM3D14,iShares MSCI Europe Screened UCITS ETF EUR (Acc),Aandelen,SLMC,EBS,EUR,Yes
LU0629459743,UBS MSCI World Socially Responsible UCITS ETF USD dis,Aandelen,UIMM,IBIS,EUR,Yes
IE000KXCEXR3,Amundi S&P 500 Screened UCITS ETF Acc,Aandelen,S500,SBF,EUR,Yes
IE00BFNM3J75,iShares MSCI World Screened UCITS ETF USD (Acc),Aandelen,SAWD,BVME.ETF,EUR,Yes
DE000ETFL508,Deka MSCI World UCITS ETF Distribution,Aandelen,ELFW,IBIS,EUR,Yes
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,Aandelen,D5BM,IBIS2,EUR,Yes
IE00B4YBJ215,SPDR S&P 400 U.S. Mid Cap UCITS ETF USD Unhedged (Acc),Aandelen,SPY4,IBIS2,EUR,Yes
IE00B945VV12,Vanguard FTSE Developed Europe UCITS ETF Distributing,Aandelen,VEUR,AEB,EUR,Yes
IE00BHZPJ676,iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),Aandelen,EMNU,IBIS2,EUR,Yes
IE00BJ38QD84,SPDR Russell 2000 US Small Cap UCITS ETF,Aandelen,ZPRR,IBIS2,EUR,Yes
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,Aandelen,MSE,SBF,EUR,Yes
IE00BP3QZ601,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),Aandelen,IWQU,BVME.ETF,EUR,Yes
IE00B5L8K969,iShares MSCI EM Asia UCITS ETF (Acc),Aandelen,CEBL,IBIS2,EUR,Yes
LU0496786657,Amundi S&P 500 II UCITS ETF USD Dist,Aandelen,6TVM,IBIS,EUR,Yes
FR0007052782,Amundi CAC 40 UCITS ETF Dist,Aandelen,CAC,SBF,EUR,Yes
IE000MLMNYS0,iShares S&P 500 Equal Weight UCITS ETF USD (Acc),Aandelen,O4J0,SBF,EUR,Yes
FR0011550185,BNP Paribas Easy S&P 500 UCITS ETF EUR,Aandelen,ESE,SBF,EUR,Yes
IE00BP3QZB59,iShares Edge MSCI World Value Factor UCITS ETF,Aandelen,IWVL,BVME.ETF,EUR,Yes
IE00BKX55T58,Vanguard FTSE Developed World UCITS ETF Distributing,Aandelen,VEVE,AEB,EUR,Yes
LU1437015735,Amundi Index ETF MSCI Europe UCITS ETF DR (C),Aandelen,CEU2,SBF,EUR,Yes
IE00BJ5JPG56,iShares MSCI China UCITS ETF USD (Acc),Aandelen,ICGA,IBIS2,EUR,Yes
LU1681049018,Amundi ETF S&P 500 UCITS ETF USD,Aandelen,500E,AEB,EUR,Yes
IE00BD4TXV59,UBS Core MSCI World UCITS ETF USD acc,Aandelen,UETW,IBIS,EUR,Yes
LU0328475792,Xtrackers STOXX Europe 600 UCITS ETF 1C,Aandelen,XSX6,IBIS2,EUR,Yes
IE00BFZXGZ54,Invesco EQQQ Nasdaq-100 UCITS ETF Acc,Aandelen,EQAC,BVME.ETF,EUR,Yes
FR0011550177,BNP Paribas Easy S&P 500 UCITS ETF USD,Aandelen,,,,No
IE00B52VJ196,iShares MSCI Europe SRI UCITS ETF (Acc),Aandelen,IUSK,IBIS2,EUR,Yes
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,Aandelen,EXUS,IBIS2,EUR,Yes
DE000A0F5UH1,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),Aandelen,ISPA,IBIS,EUR,Yes
NL0011683594,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,Aandelen,TDIV,AEB,EUR,Yes
IE000Y77LGG9,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,Aandelen,WSRI,BVME.ETF,EUR,Yes
IE00BKX55S42,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing,Aandelen,VERX,AEB,EUR,Yes
IE0002Y8CX98,WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc,Aandelen,WDEF,LSEETF,EUR,Yes
IE00B6R52036,iShares Gold Producers UCITS ETF,Aandelen,IS0E,IBIS2,EUR,Yes
IE00B6YX5D40,SPDR S&P US Dividend Aristocrats UCITS ETF,Aandelen,SPYD,IBIS2,EUR,Yes
IE00B52MJY50,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),Aandelen,SXR1,IBIS2,EUR,Yes
LU1437017350,Amundi Index MSCI Emerging Markets UCITS ETF DR (C),Aandelen,AEME,SBF,EUR,Yes
LU2573966905,Amundi MSCI Emerging Markets II UCITS ETF Dist,Aandelen,AE5A,IBIS,EUR,Yes
IE00B53HP851,iShares Core FTSE 100 UCITS ETF GBP (Acc),Aandelen,SXRW,IBIS2,EUR,Yes
IE00BKS7L097,Invesco S&P 500 Scored & Screened UCITS ETF Acc,Aandelen,5ESG,BVME.ETF,EUR,Yes
IE00BYZK4552,iShares Automation & Robotics UCITS ETF,Aandelen,RBOT,BVME.ETF,EUR,Yes
DE000A0F5UJ7,iShares STOXX Europe 600 Banks UCITS ETF (DE),Aandelen,EXV1,IBIS,EUR,Yes
LU0496786574,Amundi S&P 500 II UCITS ETF EUR Dist,Aandelen,SP5,SBF,EUR,Yes
IE00BJQRDM08,Invesco MSCI USA ESG Universal Screened UCITS ETF Acc,Aandelen,ESGU,BVME.ETF,EUR,Yes
IE00BF4G7183,JPMorgan Europe Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),Aandelen,JREE,LSEETF,EUR,Yes
LU1829219390,Amundi Euro Stoxx Banks UCITS ETF Acc,Aandelen,BNKE,SBF,EUR,Yes
LU0274209740,Xtrackers MSCI Japan UCITS ETF 1C,Aandelen,DBXJ,IBIS2,EUR,Yes
IE00BHZPJ015,iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Acc),Aandelen,EDM4,IBIS2,EUR,Yes
IE00BYVJRR92,iShares MSCI USA SRI UCITS ETF USD (Acc),Aandelen,QDVR,IBIS2,EUR,Yes
LU1291099718,BNP Paribas Easy MSCI Europe Min TE UCITS ETF,Aandelen,EEUE,SBF,EUR,Yes
IE000OULL4R4,UBS MSCI USA NSL UCITS ETF USD acc,Aandelen,CSY1,IBIS,EUR,Yes
LU1681047236,Amundi EURO STOXX 50 UCITS ETF EUR (C),Aandelen,C50,SBF,EUR,Yes
LU1681045370,Amundi MSCI Emerging Markets UCITS ETF EUR (C),Aandelen,AEEM,SBF,EUR,Yes
IE00BP3QZ825,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),Aandelen,IWMO,BVME.ETF,EUR,Yes
IE00BYVJRP78,iShares MSCI EM SRI UCITS ETF,Aandelen,QDVS,IBIS2,EUR,Yes
IE00B3YLTY66,SPDR MSCI All Country World Investable Market UCITS ETF (Acc),Aandelen,SPYI,IBIS2,EUR,Yes
IE00B8FHGS14,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),Aandelen,MVOL,BVME.ETF,EUR,Yes
LU0322253906,Xtrackers MSCI Europe Small Cap UCITS ETF 1C 1C,Aandelen,XXSC,IBIS2,EUR,Yes
DE000A0D8Q07,iShares EURO STOXX UCITS ETF (DE),Aandelen,EXSI,IBIS,EUR,Yes
IE00BLRPN388,Fidelity Emerging Markets Equity Research Enhanced UCITS ETF ACC-USD,Aandelen,FEMR,BVME.ETF,EUR,Yes
LU2263803533,Xtrackers MSCI World Swap UCITS ETF 1D,Aandelen,XWD1,IBIS2,EUR,Yes
IE00B3VVMM84,Vanguard FTSE Emerging Markets UCITS ETF Distributing,Aandelen,VFEM,AEB,EUR,Yes
IE00BRKWGL70,Invesco S&P 500 EUR Hedged UCITS ETF,Aandelen,E500,IBIS2,EUR,Yes
IE00BM67HK77,Xtrackers MSCI World Health Care UCITS ETF 1C,Aandelen,XDWH,IBIS2,EUR,Yes
LU2195226068,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,Aandelen,EPAB,SBF,EUR,Yes
IE000QQ8Z0D8,Amundi MSCI USA ESG Broad Transition UCITS ETF Dist,Aandelen,LYYB,IBIS2,EUR,Yes
DE0006289382,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),Aandelen,EXI2,IBIS,EUR,Yes
IE000OJ5TQP4,HANetf Future of Defence UCITS ETF,Aandelen,ASWC,IBIS2,EUR,Yes
LU1681048804,Amundi S&P 500 UCITS ETF EUR (C),Aandelen,500,SBF,EUR,Yes
IE00BYPLS672,L&G Cyber Security UCITS ETF,Aandelen,ISPY,BVME.ETF,EUR,Yes
IE00BMG6Z448,iShares MSCI EM ex-China UCITS ETF USD (Acc),Aandelen,MTPI,SBF,EUR,Yes
IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C 1C,Aandelen,XDEV,IBIS2,EUR,Yes
IE00BMC38736,VanEck Semiconductor UCITS ETF,Aandelen,SMH,BVME.ETF,EUR,Yes
DE000A0Q4R85,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),Aandelen,,,,No
IE000UZTA1X0,Amundi S&P 500 Climate Paris Aligned UCITS ETF Dist,Aandelen,WEBP,IBIS2,EUR,Yes
LU2581375073,Xtrackers MSCI USA Swap UCITS ETF 1D,Aandelen,XUSW,IBIS2,EUR,Yes
IE00BG36TC12,Xtrackers MSCI Japan ESG UCITS ETF 1C,Aandelen,XZMJ,IBIS2,EUR,Yes
IE00BKX55R35,Vanguard FTSE North America UCITS ETF Distributing,Aandelen,VNRT,AEB,EUR,Yes
LU1079841513,Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (USD),Aandelen,EUPC,GETTEX,EUR,Yes
IE0009HF1MK9,Amundi Prime All Country World UCITS ETF Dist,Aandelen,WEBG,IBIS2,EUR,Yes
IE000R4ZNTN3,iShares MSCI World ex-USA UCITS ETF USD (Acc),Aandelen,IXUA,IBIS2,EUR,Yes
LU0533033667,Amundi MSCI World Information Technology UCITS ETF EUR Acc,Aandelen,TNOW,BVME.ETF,EUR,Yes
IE00BL25JL35,Xtrackers MSCI World Quality UCITS ETF 1C 1C,Aandelen,XDEQ,IBIS2,EUR,Yes
IE000LAP5Z18,Amundi S&P 500 Equal Weight ESG Leaders UCITS ETF DR - USD (A),Aandelen,WELE,IBIS2,EUR,Yes
IE00B4JNQZ49,iShares S&P 500 Financials Sector UCITS ETF (Acc),Aandelen,QDVH,IBIS2,EUR,Yes
IE00B95PGT31,Vanguard FTSE Japan UCITS ETF Distributing,Aandelen,VJPN,AEB,EUR,Yes
LU1971906802,UBS EURO STOXX 50 ESG UCITS ETF EUR dis,Aandelen,UET5,IBIS,EUR,Yes
IE00BFMXYP42,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,Aandelen,VUKG,IBIS2,EUR,Yes
LU1681042609,Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (C),Aandelen,CEU,SBF,EUR,Yes
IE00B5SSQT16,HSBC MSCI Emerging Markets UCITS ETF USD,Aandelen,HMEM,BVME.ETF,EUR,Yes
IE0006IP4XZ8,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,Aandelen,USAC,SBF,EUR,Yes
LU2009202107,Amundi MSCI Emerging Ex China UCITS ETF Acc,Aandelen,EMXC,SBF,EUR,Yes
IE00B1TXK627,iShares Global Water UCITS ETF,Aandelen,IH2O,BVME.ETF,EUR,Yes
LU0977261329,UBS MSCI Switzerland 20/35 UCITS ETF CHF acc,Aandelen,,,,No
DE0005933923,iShares MDAX UCITS ETF (DE),Aandelen,EXS3,IBIS,EUR,Yes
IE00BQN1K901,iShares Edge MSCI Europe Value Factor UCITS ETF,Aandelen,IEVL,LSEETF,EUR,Yes
IE000O5FBC47,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc,Aandelen,ZPA5,IBIS2,EUR,Yes
IE00063GNWK1,UBS MSCI USA Selection UCITS ETF USD acc,Aandelen,CSY2,IBIS,EUR,Yes
IE00B52SFT06,iShares MSCI USA UCITS ETF (Acc),Aandelen,SXR4,IBIS2,EUR,Yes
IE00BQQP9F84,VanEck Gold Miners UCITS ETF,Aandelen,GDX1,SBF,EUR,Yes
IE00B43HR379,iShares S&P 500 Health Care Sector UCITS ETF (Acc),Aandelen,QDVG,IBIS2,EUR,Yes
IE00BD4TXS21,UBS Core MSCI USA UCITS ETF USD acc,Aandelen,USAUSW,BVME.ETF,EUR,Yes
IE00B1XNHC34,iShares Global Clean Energy Transition UCITS ETF USD (Dist),Aandelen,INRG,BVME.ETF,EUR,Yes
LU1931974775,Amundi Prime Japan UCITS ETF DR (D),Aandelen,PR1J,IBIS,EUR,Yes
IE000FSN19U2,Amundi MSCI USA UCITS ETF Acc,Aandelen,WEBH,IBIS2,EUR,Yes
IE00BD1F4M44,iShares Edge MSCI USA Value Factor UCITS ETF,Aandelen,QDVI,IBIS2,EUR,Yes
IE00BKX55Q28,Vanguard FTSE 250 UCITS ETF Distributing,Aandelen,VMID,FWB2,EUR,Yes
IE00BK5BQW10,Vanguard FTSE North America UCITS ETF (USD) Accumulating,Aandelen,VNRA,IBIS2,EUR,Yes
IE00B3VWM098,iShares MSCI USA Small Cap ESG Enhanced CTB UCITS ETF USD (Acc),Aandelen,SXRG,IBIS2,EUR,Yes
IE00BQT3WG13,iShares MSCI China A UCITS ETF,Aandelen,36BZ,IBIS2,EUR,Yes
IE00BHZPJ783,iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Acc),Aandelen,EDM6,EBS,EUR,Yes
IE00B2QWCY14,iShares S&P SmallCap 600 UCITS ETF,Aandelen,IUS3,IBIS2,EUR,Yes
IE000CL68Z69,Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,Aandelen,PABW,SBF,EUR,Yes
IE000U9J8HX9,JPMorgan Nasdaq Equity Premium Income Active UCITS ETF USD (dist),Aandelen,JEQP,IBIS2,EUR,Yes
LU0480132876,UBS Core MSCI EM UCITS ETF USD dis,Aandelen,UIMI,IBIS,EUR,Yes
LU2611732046,Amundi DAX UCITS ETF Dist,Aandelen,CBDAX,EBS,EUR,Yes
LU1829220216,Amundi MSCI All Country World UCITS ETF EUR Acc,Aandelen,ACWI,SBF,EUR,Yes
LU0846194776,Xtrackers MSCI EMU UCITS ETF 1D,Aandelen,XD5E,IBIS2,EUR,Yes
IE00BD1F4L37,iShares Edge MSCI USA Quality Factor UCITS ETF,Aandelen,QDVB,IBIS2,EUR,Yes
LU1291102447,BNP Paribas Easy MSCI Japan Min TE UCITS ETF,Aandelen,EJAP,SBF,EUR,Yes
IE00BK5BQX27,Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,Aandelen,VWCG,IBIS2,EUR,Yes
IE00BHZRR147,Franklin FTSE China UCITS ETF,Aandelen,FLXC,IBIS2,EUR,Yes
